Y_column;Model;Hyperparameters;Accuracy_kfold;Precision_kfold;Recall_kfold;F1_kfold;ROC_AUC_kfold;Confusion Matrix (k-fold);Accuracy_ext;Precision_ext;Recall_ext;F1_ext;ROC_AUC_ext;Confusion Matrix (External);NOT in AD train;NOT in AD test
331;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9583333333333334;0.0;0.0;0.0;0.5;"[[23  0]
 [ 1  0]]";1.0;0.0;0.0;0.0;;[[6]];[];[]
332;RF;{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150};0.7692307692307693;0.7333333333333333;0.8461538461538461;0.7857142857142856;0.7692307692307693;"[[ 9  4]
 [ 2 11]]";0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.4444444444444445;"[[2 1]
 [1 2]]";[];[]
333;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150};0.6666666666666666;0.65;0.7222222222222222;0.6842105263157895;0.6666666666666667;"[[11  7]
 [ 5 13]]";0.3333333333333333;1.0;0.3333333333333333;0.5;;"[[0 0]
 [4 2]]";[];[]
334;RF;{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.85;0.9375;0.75;0.8333333333333334;0.85;"[[19  1]
 [ 5 15]]";0.8333333333333334;0.8333333333333334;1.0;0.9090909090909091;0.0;"[[0 1]
 [0 5]]";[];[]
335;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0.7058823529411765;0.6666666666666666;0.8235294117647058;0.7368421052631577;0.7058823529411764;"[[10  7]
 [ 3 14]]";1.0;1.0;1.0;1.0;1.0;"[[4 0]
 [0 2]]";[];[]
336;RF;{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50};0.7368421052631579;0.6956521739130435;0.8421052631578947;0.761904761904762;0.7368421052631579;"[[12  7]
 [ 3 16]]";0.6666666666666666;0.6666666666666666;1.0;0.8;0.625;"[[0 2]
 [0 4]]";[];[]
337;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 40};0.5;0.5;0.6666666666666666;0.5714285714285715;0.5;"[[ 5 10]
 [ 5 10]]";1.0;1.0;1.0;1.0;1.0;"[[2 0]
 [0 4]]";[];[]
338;RF;{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100};0.8095238095238095;0.76;0.9047619047619048;0.8260869565217391;0.8095238095238095;"[[15  6]
 [ 2 19]]";0.6666666666666666;0.3333333333333333;1.0;0.5;0.9;"[[3 2]
 [0 1]]";[];[]
339;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.2692307692307692;0.2857142857142857;0.3076923076923077;0.29629629629629634;0.2692307692307692;"[[ 3 10]
 [ 9  4]]";0.3333333333333333;0.0;0.0;0.0;0.5555555555555556;"[[2 1]
 [3 0]]";[];[]
340;RF;{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 40};0.7272727272727273;0.9166666666666666;0.5;0.6470588235294118;0.7272727272727273;"[[21  1]
 [11 11]]";0.6666666666666666;1.0;0.6666666666666666;0.8;;"[[0 0]
 [2 4]]";[];[]
341;RF;{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50};0.725;0.7368421052631579;0.7;0.717948717948718;0.725;"[[15  5]
 [ 6 14]]";0.6666666666666666;0.6666666666666666;1.0;0.8;0.5625;"[[0 2]
 [0 4]]";[];[]
342;RF;{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 40};0.5555555555555556;0.5625;0.5;0.5294117647058824;0.5555555555555556;"[[11  7]
 [ 9  9]]";0.8333333333333334;0.8333333333333334;1.0;0.9090909090909091;1.0;"[[0 1]
 [0 5]]";[];[]
343;RF;{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 150};0.5526315789473685;0.5555555555555556;0.5263157894736842;0.5405405405405405;0.5526315789473684;"[[11  8]
 [ 9 10]]";0.6666666666666666;1.0;0.6666666666666666;0.8;;"[[0 0]
 [2 4]]";[];[]
344;RF;{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 40};0.5714285714285714;0.5555555555555556;0.7142857142857143;0.6250000000000001;0.5714285714285715;"[[ 6  8]
 [ 4 10]]";0.6666666666666666;0.8;0.8;0.8000000000000002;0.6;"[[0 1]
 [1 4]]";[];[]
345;RF;{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50};0.6;0.5882352941176471;0.6666666666666666;0.625;0.6;"[[ 8  7]
 [ 5 10]]";0.16666666666666666;0.5;0.2;0.28571428571428575;0.0;"[[0 1]
 [4 1]]";[];[]
346;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9583333333333334;0.9583333333333334;1.0;0.9787234042553191;0.5;"[[ 0  1]
 [ 0 23]]";1.0;1.0;1.0;1.0;;[[6]];[];[]
347;RF;{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50};0.5333333333333333;0.5454545454545454;0.4;0.4615384615384615;0.5333333333333333;"[[10  5]
 [ 9  6]]";0.5;0.6666666666666666;0.5;0.5714285714285715;0.6875;"[[1 1]
 [2 2]]";[];[]
348;RF;{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 40};0.8421052631578947;0.8095238095238095;0.8947368421052632;0.8500000000000001;0.8421052631578948;"[[15  4]
 [ 2 17]]";0.8333333333333334;0.0;0.0;0.0;1.0;"[[5 0]
 [1 0]]";[];[]
349;RF;{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100};0.8235294117647058;0.8666666666666667;0.7647058823529411;0.8125;0.8235294117647058;"[[15  2]
 [ 4 13]]";1.0;1.0;1.0;1.0;1.0;"[[2 0]
 [0 4]]";[];[]
350;RF;{'max_depth': 1, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 40};0.4230769230769231;0.42857142857142855;0.46153846153846156;0.4444444444444445;0.4230769230769231;"[[5 8]
 [7 6]]";0.6666666666666666;0.8;0.8;0.8000000000000002;0.5;"[[0 1]
 [1 4]]";[];[]
351;RF;{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 40};0.8636363636363636;0.9444444444444444;0.7727272727272727;0.85;0.8636363636363636;"[[21  1]
 [ 5 17]]";0.8333333333333334;0.8333333333333334;1.0;0.9090909090909091;0.1;"[[0 1]
 [0 5]]";[];[]
352;RF;{'max_depth': 1, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50};0.5;0.5;0.5625;0.5294117647058824;0.5;"[[7 9]
 [7 9]]";0.8333333333333334;1.0;0.75;0.8571428571428571;0.875;"[[2 0]
 [1 3]]";[];[]
353;RF;{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 40};0.8333333333333334;0.7727272727272727;0.9444444444444444;0.85;0.8333333333333334;"[[13  5]
 [ 1 17]]";0.8333333333333334;1.0;0.6666666666666666;0.8;0.888888888888889;"[[3 0]
 [1 2]]";[];[]
354;RF;{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0.5625;0.5833333333333334;0.4375;0.5;0.5625;"[[11  5]
 [ 9  7]]";0.6666666666666666;0.3333333333333333;1.0;0.5;0.8;"[[3 2]
 [0 1]]";[];[]
355;RF;{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50};0.75;0.7222222222222222;0.8125;0.7647058823529411;0.75;"[[11  5]
 [ 3 13]]";0.8333333333333334;1.0;0.6666666666666666;0.8;1.0;"[[3 0]
 [1 2]]";[];[]
356;RF;{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.7631578947368421;0.8125;0.6842105263157895;0.742857142857143;0.763157894736842;"[[16  3]
 [ 6 13]]";0.6666666666666666;1.0;0.6;0.7499999999999999;0.8;"[[1 0]
 [2 3]]";[];[]
357;RF;{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50};0.7941176470588235;0.7777777777777778;0.8235294117647058;0.7999999999999999;0.7941176470588235;"[[13  4]
 [ 3 14]]";0.6666666666666666;0.0;0.0;0.0;0.8;"[[4 1]
 [1 0]]";[];[]
358;RF;{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50};0.39285714285714285;0.38461538461538464;0.35714285714285715;0.3703703703703704;0.3928571428571429;"[[6 8]
 [9 5]]";1.0;1.0;1.0;1.0;;[[6]];[];[]
359;RF;{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.8157894736842105;0.8333333333333334;0.7894736842105263;0.8108108108108109;0.8157894736842104;"[[16  3]
 [ 4 15]]";0.5;0.5;1.0;0.6666666666666666;0.7222222222222223;"[[0 3]
 [0 3]]";[];[]
360;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100};0.75;0.9230769230769231;0.5454545454545454;0.6857142857142856;0.75;"[[21  1]
 [10 12]]";0.6666666666666666;1.0;0.6666666666666666;0.8;;"[[0 0]
 [2 4]]";[];[]
361;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.725;0.7647058823529411;0.65;0.7027027027027027;0.7250000000000001;"[[16  4]
 [ 7 13]]";0.6666666666666666;1.0;0.6666666666666666;0.8;;"[[0 0]
 [2 4]]";[];[]
362;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50};0.8333333333333334;0.8571428571428571;0.8;0.8275862068965518;0.8333333333333334;"[[13  2]
 [ 3 12]]";0.3333333333333333;0.5;0.5;0.5;0.4375;"[[0 2]
 [2 2]]";[];[]
363;RF;{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50};0.625;0.625;0.625;0.625;0.625;"[[10  6]
 [ 6 10]]";0.6666666666666666;0.0;0.0;0.0;0.7;"[[4 1]
 [1 0]]";[];[]
364;RF;{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 40};0.7;0.7;0.7;0.7;0.7;"[[14  6]
 [ 6 14]]";1.0;0.0;0.0;0.0;;[[6]];[];[]
365;RF;{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100};0.7647058823529411;0.7647058823529411;0.7647058823529411;0.7647058823529412;0.7647058823529411;"[[13  4]
 [ 4 13]]";0.6666666666666666;0.75;0.75;0.75;0.625;"[[1 1]
 [1 3]]";[];[]
366;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 40};0.71875;0.8181818181818182;0.5625;0.6666666666666666;0.71875;"[[14  2]
 [ 7  9]]";0.8333333333333334;1.0;0.8;0.888888888888889;0.9;"[[1 0]
 [1 4]]";[];[]
367;RF;{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150};0.7647058823529411;0.7647058823529411;0.7647058823529411;0.7647058823529412;0.7647058823529411;"[[13  4]
 [ 4 13]]";0.5;0.5;1.0;0.6666666666666666;0.7777777777777778;"[[0 3]
 [0 3]]";[];[]
368;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.8055555555555556;0.7619047619047619;0.8888888888888888;0.8205128205128205;0.8055555555555555;"[[13  5]
 [ 2 16]]";1.0;1.0;1.0;1.0;1.0;"[[5 0]
 [0 1]]";[];[]
369;RF;{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0.71875;0.7333333333333333;0.6875;0.7096774193548386;0.71875;"[[12  4]
 [ 5 11]]";0.6666666666666666;0.75;0.75;0.75;0.8125;"[[1 1]
 [1 3]]";[];[]
370;RF;{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150};0.7692307692307693;0.7692307692307693;0.7692307692307693;0.7692307692307693;0.7692307692307692;"[[10  3]
 [ 3 10]]";0.5;0.5;0.3333333333333333;0.4;0.6666666666666667;"[[2 1]
 [2 1]]";[];[]
371;RF;{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0.7916666666666666;0.7333333333333333;0.9166666666666666;0.8148148148148148;0.7916666666666667;"[[ 8  4]
 [ 1 11]]";0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.8333333333333333;"[[2 1]
 [1 2]]";[];[]
372;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.5277777777777778;0.5263157894736842;0.5555555555555556;0.5405405405405405;0.5277777777777778;"[[ 9  9]
 [ 8 10]]";0.8333333333333334;0.6666666666666666;1.0;0.8;0.8125;"[[3 1]
 [0 2]]";[];[]
373;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.9583333333333334;0.9583333333333334;1.0;0.9787234042553191;0.5;"[[ 0  1]
 [ 0 23]]";1.0;1.0;1.0;1.0;;[[6]];[];[]
374;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150};0.868421052631579;0.85;0.8947368421052632;0.8717948717948718;0.868421052631579;"[[16  3]
 [ 2 17]]";0.8333333333333334;0.0;0.0;0.0;0.4;"[[5 0]
 [1 0]]";[];[]
375;RF;{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 150};0.7333333333333333;0.7692307692307693;0.6666666666666666;0.7142857142857142;0.7333333333333333;"[[12  3]
 [ 5 10]]";0.5;0.6;0.75;0.6666666666666665;0.4375;"[[0 2]
 [1 3]]";[];[]
376;RF;{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100};0.7631578947368421;0.8571428571428571;0.631578947368421;0.7272727272727273;0.7631578947368421;"[[17  2]
 [ 7 12]]";0.6666666666666666;0.6666666666666666;1.0;0.8;0.625;"[[0 2]
 [0 4]]";[];[]
377;RF;{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 40};0.6842105263157895;0.6666666666666666;0.7368421052631579;0.7;0.6842105263157894;"[[12  7]
 [ 5 14]]";0.3333333333333333;0.5;0.25;0.3333333333333333;0.4375;"[[1 1]
 [3 1]]";[];[]
378;RF;{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50};0.6153846153846154;0.6153846153846154;0.6153846153846154;0.6153846153846154;0.6153846153846154;"[[8 5]
 [5 8]]";0.8333333333333334;0.8333333333333334;1.0;0.9090909090909091;1.0;"[[0 1]
 [0 5]]";[];[]
379;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150};0.8235294117647058;0.8666666666666667;0.7647058823529411;0.8125;0.8235294117647058;"[[15  2]
 [ 4 13]]";0.6666666666666666;1.0;0.6666666666666666;0.8;;"[[0 0]
 [2 4]]";[];[]
380;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150};0.8333333333333334;0.7777777777777778;0.9333333333333333;0.8484848484848485;0.8333333333333334;"[[11  4]
 [ 1 14]]";0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;"[[2 1]
 [1 2]]";[];[]
381;RF;{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 40};0.631578947368421;0.631578947368421;0.631578947368421;0.631578947368421;0.631578947368421;"[[12  7]
 [ 7 12]]";0.8333333333333334;1.0;0.6666666666666666;0.8;0.9444444444444444;"[[3 0]
 [1 2]]";[];[]
382;RF;{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50};0.8157894736842105;0.8;0.8421052631578947;0.8205128205128205;0.8157894736842104;"[[15  4]
 [ 3 16]]";0.6666666666666666;1.0;0.6666666666666666;0.8;;"[[0 0]
 [2 4]]";[];[]
383;RF;{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 150};0.6;0.6;0.6;0.6;0.6;"[[9 6]
 [6 9]]";0.5;0.4;1.0;0.5714285714285715;1.0;"[[1 3]
 [0 2]]";[];[]
384;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50};0.7941176470588235;0.7272727272727273;0.9411764705882353;0.8205128205128205;0.7941176470588235;"[[11  6]
 [ 1 16]]";0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.33333333333333337;"[[1 2]
 [2 1]]";[];[]
385;RF;{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100};0.7368421052631579;0.8;0.631578947368421;0.7058823529411765;0.7368421052631579;"[[16  3]
 [ 7 12]]";0.5;0.75;0.6;0.6666666666666665;0.6;"[[0 1]
 [2 3]]";[];[]
386;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.6944444444444444;0.6842105263157895;0.7222222222222222;0.7027027027027027;0.6944444444444445;"[[12  6]
 [ 5 13]]";0.5;0.5;0.3333333333333333;0.4;0.3888888888888889;"[[2 1]
 [2 1]]";[];[]
387;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40};0.7142857142857143;0.65;0.9285714285714286;0.7647058823529412;0.7142857142857143;"[[ 7  7]
 [ 1 13]]";0.8333333333333334;0.6666666666666666;1.0;0.8;1.0;"[[3 1]
 [0 2]]";[];[]
388;RF;{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.7222222222222222;0.75;0.6666666666666666;0.7058823529411765;0.7222222222222222;"[[14  4]
 [ 6 12]]";0.5;0.5;1.0;0.6666666666666666;0.888888888888889;"[[0 3]
 [0 3]]";[];[]
389;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50};0.7142857142857143;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.7142857142857143;"[[10  4]
 [ 4 10]]";0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.8333333333333333;"[[2 1]
 [1 2]]";[];[]
390;RF;{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 40};0.7857142857142857;0.9;0.6428571428571429;0.75;0.7857142857142857;"[[13  1]
 [ 5  9]]";0.6666666666666666;0.5;1.0;0.6666666666666666;0.875;"[[2 2]
 [0 2]]";[];[]
391;RF;{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150};0.75;0.8888888888888888;0.5714285714285714;0.6956521739130435;0.75;"[[13  1]
 [ 6  8]]";0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.7777777777777779;"[[2 1]
 [1 2]]";[];[]
392;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150};0.7777777777777778;0.8571428571428571;0.6666666666666666;0.75;0.7777777777777777;"[[16  2]
 [ 6 12]]";0.6666666666666666;0.75;0.75;0.75;0.375;"[[1 1]
 [1 3]]";[];[]
393;RF;{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50};0.5555555555555556;0.55;0.6111111111111112;0.5789473684210527;0.5555555555555556;"[[ 9  9]
 [ 7 11]]";0.6666666666666666;0.8;0.8;0.8000000000000002;0.6;"[[0 1]
 [1 4]]";[];[]
394;RF;{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50};0.5714285714285714;0.5833333333333334;0.5;0.5384615384615384;0.5714285714285714;"[[9 5]
 [7 7]]";0.6666666666666666;0.0;0.0;0.0;0.8;"[[4 1]
 [1 0]]";[];[]
395;RF;{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0.6;0.5882352941176471;0.6666666666666666;0.625;0.6;"[[ 8  7]
 [ 5 10]]";0.6666666666666666;1.0;0.6666666666666666;0.8;;"[[0 0]
 [2 4]]";[];[]
396;RF;{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150};0.4666666666666667;0.46153846153846156;0.4;0.42857142857142855;0.4666666666666666;"[[8 7]
 [9 6]]";0.8333333333333334;1.0;0.8333333333333334;0.9090909090909091;;"[[0 0]
 [1 5]]";[];[]
