;18
0;1
1;0
2;1
3;1
4;1
5;0
6;1
7;1
8;0
9;1
10;1
11;0
12;0
13;1
14;1
15;0
16;1
17;0
18;1
19;1
20;1
21;1
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
