N;time;det;charge
13;-0.912870929175277;-0.7780370162315454;-0.5423261445466405
1;-0.912870929175277;-0.8798427230171862;-0.5423261445466405
5;-0.912870929175277;-0.4914069839098783;1.8439088914585777
17;-0.912870929175277;2.047134816961999;-0.5423261445466405
6;-0.912870929175277;0.7881460390318423;1.8439088914585777
14;-0.912870929175277;-1.0595894571923328;-0.5423261445466405
12;1.0954451150103324;0.7881460390318423;1.8439088914585777
23;1.0954451150103324;2.047134816961999;-0.5423261445466405
2;-0.912870929175277;-0.3771611782900818;-0.5423261445466405
3;-0.912870929175277;1.1308834558912315;-0.5423261445466405
26;-0.912870929175277;-0.31089861103059985;-0.5423261445466405
4;-0.912870929175277;-0.917924658223785;1.8439088914585777
22;1.0954451150103324;-0.9164013808155212;-0.5423261445466405
27;-0.912870929175277;1.3296711576696774;-0.5423261445466405
19;1.0954451150103324;-0.7780370162315454;-0.5423261445466405
30;1.0954451150103324;1.3296711576696774;-0.5423261445466405
21;1.0954451150103324;-0.07174405793315919;-0.5423261445466405
8;1.0954451150103324;-0.3771611782900818;-0.5423261445466405
11;1.0954451150103324;-0.4914069839098783;1.8439088914585777
15;-0.912870929175277;-0.07174405793315919;-0.5423261445466405
20;1.0954451150103324;-1.0595894571923328;-0.5423261445466405
7;1.0954451150103324;-0.8798427230171862;-0.5423261445466405
